ID,Age,Canterburygroup,Group,Group2,Gender,Timestamp,Time_norm,phoneme,F1,F2,F1norm,F2norm
P01,34,,>30,28-50,M,872.2209877,0.6830823232,GOOSE,379.7796047,1600,-1.093146189,0.1399134883
P01,34,26-35,>30,28-50,M,873.9030146,0.6843996074,TRAP,574.9979644,1987.637054,0.590944416,0.9312516623
P01,34,26-35,>30,28-50,M,874.5587922,0.6849131814,TRAP,544.7943131,1999.513764,0.3303865183,0.9554972656
P01,34,26-35,>30,28-50,M,881.0423742,0.6899908169,DRESS,393.8423238,2257.251794,-0.9718313029,1.481654246
P01,34,,>30,28-50,M,891.7288944,0.6983599953,THOUGHT,481.4060266,832.3940048,-0.2164453364,-1.427108859
P01,34,,>30,28-50,M,900.0563186,0.704881641,FLEECE,400.4726907,2182.191763,-0.9146331037,1.328423621
P01,34,,>30,28-50,M,901.4256868,0.7059540656,LOT,587.1851644,951.2548518,0.6960797584,-1.184461453
P01,34,,>30,28-50,M,901.8940994,0.7063209042,STRUT,613.9117892,1406.509069,0.9266423845,-0.2550868315
P01,34,,>30,28-50,M,920.6057039,0.72097495,LOT,613.2739692,960,0.9211401015,-1.166608749
P01,34,,>30,28-50,M,921.0315336,0.7213084397,THOUGHT,344.5514079,710.3832534,-1.397049343,-1.676186609
P01,34,,>30,28-50,M,933.5302848,0.731096872,THOUGHT,349.1466946,632.0045039,-1.357407174,-1.836192202
P01,34,26-35,>30,28-50,M,936.2428195,0.7332212011,KIT,549.1203818,1691.771841,0.3677062235,0.3272602861
P01,34,,>30,28-50,M,938.6146905,0.7350787385,GOOSE,349.2249818,1673.82349,-1.356731814,0.2906197878
P01,34,,>30,28-50,M,945.2771208,0.7402964397,THOUGHT,459.1575973,769.6573929,-0.4083759053,-1.555181951
P01,34,26-35,>30,28-50,M,962.3535405,0.7536698858,KIT,530.0450004,1742.479772,0.2031485941,0.4307775354
P01,34,,>30,28-50,M,963.4308894,0.7545136146,START,719.7866174,1424.6507,1.839992972,-0.2180517609
P01,34,,>30,28-50,M,968.253735,0.7582906398,STRUT,689.1843065,1350.99747,1.575995956,-0.3684104844
P01,34,,>30,28-50,M,968.7604722,0.7586874925,STRUT,697.4278715,1367.992315,1.647110735,-0.3337165106
P01,34,,>30,28-50,M,969.1437189,0.7589876332,LOT,604.515597,1001.409032,0.8455842348,-1.082074655
P01,34,26-35,>30,28-50,M,973.8302999,0.7626579422,DRESS,361.3473323,2264.768272,-1.25215591,1.496998691
P01,34,,>30,28-50,M,977.5094677,0.7655392929,GOOSE,405.0713511,1588.850825,-0.8749618305,0.1171531047
P01,34,,>30,28-50,M,980.8802352,0.7681791189,LOT,625.1071946,929.5053874,1.02322181,-1.228861702
P01,34,,>30,28-50,M,983.3252255,0.77009392,NURSE,448.3949197,1553.467373,-0.5012223172,0.04491987589
P01,34,26-35,>30,28-50,M,995.3744005,0.7795302654,TRAP,607.8585536,2024.590296,0.874422925,1.006689525
P01,34,,>30,28-50,M,999.8693581,0.7830505041,FOOT,406.9557226,1346.015708,-0.8587059199,-0.3785804576
P01,34,,>30,28-50,M,1005.642705,0.7875719169,THOUGHT,383.1644112,736.9025572,-1.063946472,-1.622049015
P01,34,26-35,>30,28-50,M,1009.826807,0.7908487078,DRESS,371.1817793,2141.07731,-1.167317066,1.244490892
P01,34,26-35,>30,28-50,M,1041.63758,0.815761405,TRAP,542.7029898,1981.646658,0.3123452957,0.9190226217
P01,34,26-35,>30,28-50,M,1046.159891,0.8193030652,KIT,548.4412929,1856.909668,0.3618479261,0.6643794169
P01,34,26-35,>30,28-50,M,1054.52564,0.825854725,DRESS,365.3348972,2049.145653,-1.217756376,1.056817839
P01,34,,>30,28-50,M,1058.969498,0.829334945,GOOSE,397.850432,1604.8924,-0.9372545475,0.1499010342
P01,34,,>30,28-50,M,1082.925521,0.848096172,FOOT,555.9318447,1210.238,0.426466684,-0.6557626366
P01,34,26-35,>30,28-50,M,1089.21748,0.8530237371,TRAP,528.2027181,1962.829924,0.1872557736,0.8806093688
P01,34,,>30,28-50,M,1090.324637,0.8538908102,START,676.6508685,1164.693094,1.467873723,-0.7487398766
P01,34,26-35,>30,28-50,M,1092.619858,0.8556883195,DRESS,338.8638994,2334.465725,-1.446113784,1.639281931
